Register #,Annual DFO # (discontinued),Glide #,Country,Other,Nations, Affected,Detailed Locations (click on active links to access inundation extents),Validation (post event #3503),Began,Ended,Duration in Days,Dead,Displaced,Damage (USD),Main cause,Severity *,Affected sq km,Magnitude (M)**,Centroid X,Centroid Y,"""News"" if validated",M>6,Total annual floods M>6,M>4,Total annual floods M>4,Date Began,Total floods M>6,Total floods M>4,,,,
4433,,,Germany,,#N/A,#N/A,Germany's northeastern coast,News,01/02/2017,01/05/2017,4,0,0,,Winter Storm Axel,1.5,18991.85,5.05671852189572,9.58328,54.7053,News,0,103,1,215,01/02/2017,1215,3900,,,,
4432,,,Thailand,,#N/A,#N/A,"Nakhon Si Thammarat, Trang and Phatthalung provinces",News,12/31/2016,02/07/2017,39,96,1000000,,Heavy Rain,1.5,50020.11,6.46630050854145,100.061,7.30494,News,1,103,1,214,12/31/2016,1215,3899,,,,
4431,,,Malaysia,,#N/A,#N/A,Terengganu and Kelantan states,News,12/31/2016,01/05/2017,6,0,25000,,Heavy Rain,1.5,43580.48,5.5935345187411,102.411,4.70029,News,0,102,1,213,12/31/2016,1214,3898,,,,
4430,,,Turkey,,#N/A,#N/A,"Mersin, other areas",News,12/28/2016,01/05/2017,9,2,0,,Heavy Rain,1,99220.22,5.95084269509736,34.2182,38.4787,News,0,102,1,212,12/28/2016,1214,3897,,,,
4429,,FL-2016-000133-VNM,Vietnam,,#N/A,#N/A,"Central and southcentral areas, and central highlands",News,12/13/2016,01/02/2017,21,19,0,,Heavy Rain,1.5,44341.22,6.14511819186845,107.805,15.4331,News,1,102,1,211,12/13/2016,1214,3896,,,,
4428,,,Australia,,#N/A,#N/A,Southern Northern Territories and northern South Australia,News,12/25/2016,01/05/2017,12,0,100,,Heavy Rain,1.5,1155717.36,7.31812414195532,133.489,-21.5215,News,1,101,1,210,12/25/2016,1213,3895,,,,
4427,,,Argentina,,#N/A,#N/A,Santa Fe and Buenos Aires provinces,News,12/26/2016,01/05/2017,11,1,700,,Heavy Rain,1.5,445992.61,6.86681160682109,-59.8071,-33.7708,News,1,100,1,209,12/26/2016,1212,3894,,,,
4426,,,Congo,Angola,#N/A,#N/A,Boma,News,12/25/2016,01/12/2017,19,50,4500,,Heavy Rain,1.5,162268.82,6.66507993804272,14.7203,-5.34759,News,1,99,1,208,12/25/2016,1211,3893,,,,
4425,,,Greece,Turkey,#N/A,#N/A,"Central and western areas, islands, Athens; Çanakkale province, Turkey",News,11/26/2016,12/07/2016,12,1,0,,Heavy Rain,1,36417.46,5.64049089792794,27.3395,38.7051,News,0,98,1,207,11/26/2016,1210,3892,,,,
4424,,,Malaysia,,#N/A,#N/A,State of Terengganu,News,11/28/2016,12/07/2016,10,0,400,,Heavy Rain,1,20485.81,5.31145314044321,102.56,5.12197,News,0,98,1,206,11/28/2016,1210,3891,,,,
4423,,,Thailand,,#N/A,#N/A,Ten provinces in southern Thailand,News,12/01/2016,12/07/2016,7,11,0,,Monsoonal  Rain,1.5,67395.39,5.84981948987775,100.753,14.4448,News,0,98,1,205,12/01/2016,1210,3890,,,,
4422,,,Vietnam,,#N/A,#N/A,Central areas,News,11/30/2016,12/07/2016,8,14,500,,Heavy Rain,1.5,37984.59,5.65878868910335,108.572,12.7304,News,0,98,1,204,11/30/2016,1210,3889,,,,
4421,,,Bolivia,,#N/A,#N/A,Northern and central departments,News,12/03/2016,12/07/2016,5,0,4,,Heavy Rain,1,301195.25,6.17781812287711,-65.894,-12.843,News,1,98,1,203,12/03/2016,1210,3888,,,,
4420,,,Colombia,,#N/A,#N/A,Cali,News,12/01/2016,12/07/2016,7,0,6,,Torrential Rain,1,22578.75,5.19879793494912,-76.4842,2.80694,News,0,97,1,202,12/01/2016,1209,3887,,,,
4419,,,Spain,,#N/A,#N/A, Coast from Malaga to Gibraltar.,News,12/03/2016,12/07/2016,5,0,2,,Torrential Rain,1.5,68802.43,5.71266504053643,-4.48066,37.0601,News,0,97,1,201,12/03/2016,1209,3886,,,,
4418,,TC-2016-000125-CRI,Costa Rica,Nicaragua,#N/A,#N/A,Northern Costa Rica and southern Nicaragua,News,11/24/2016,12/07/2016,14,4000,13,,Tropical Storm Otto,1.5,69965.95,6.16710603010729,-85.1445,11.067,News,1,97,1,200,11/24/2016,1209,3885,,,,
4417,,,Albania,Montenegro,#N/A,#N/A, Tirana County, many other locations.,News,11/07/2016,11/10/2016,4,2,300,,Heavy Rain,1.5,16543.1,4.99676814536702,19.4463,42.2541,News,0,96,1,199,11/07/2016,1208,,,,
4416,,,Dominican Republic,,#N/A,#N/A,"Cabrera, Province of María Trinidad Sánchez, Tío Marcos River, Bajabonico and Angostura rivers, much of nation.",News,11/07/2016,11/10/2016,4,0,20000,,Heavy Rain,1,30798.38,5.09058786446594,-70.1252,18.9199,News,0,96,1,198,11/07/2016,1208,3883,,,,
4415,,,Haiti,,#N/A,#N/A," At least 15 municipalities of Haiti;  Cap-Haitien, Nord Department;  Jérémie, Grand’Anse department",News,11/05/2016,11/10/2016,6,10,0,,Heavy Rain,1,4534.1,4.43464234468523,-72.5871,19.7388,News,0,96,1,197,11/05/2016,1208,3882,,,,
4414,,,Mexico,,#N/A,#N/A," Tamaulipas, Veracruz and Chihuahua",News,11/03/2016,11/10/2016,8,2,300,,Heavy Rain,1,322162.36,6.4111647850267,-99.7926,23.273,News,1,96,1,196,11/03/2016,1208,3881,,,,
4413,,,Indonesia,,#N/A,#N/A,Gorontalo,News,10/23/2016,11/10/2016,19,2,4500,,Heavy Rain,1,11225.49,5.32895890828089,123.245,0.64869,News,0,95,1,195,10/23/2016,1207,3880,,,,
4412,,,Argentina,Uruguay,#N/A,#N/A,Buenos Aires Province,News,10/10/2016,11/10/2016,32,0,50,,Heavy Rain,1.5,281856.22,7.13126886064345,-55.6697,-34.6637,News,1,95,1,194,10/10/2016,1207,3879,,,,
4411,,FL-2016-000114-EGY,Egypt,,#N/A,#N/A, Red Sea and Sohag Areas,News,10/28/2016,11/07/2016,11,22,0,,Torrential Rain,1.5,28260.17,5.66865871424732,34.7625,24.3954,News,0,94,1,193,10/28/2016,1206,3878,,,,
4410,,,Vietnam,,#N/A,#N/A,Central provinces,News,10/09/2016,11/10/2016,33,21,100000,,Monsoonal Rain,2,63641.54,6.62328461571519,107.68,16.0038,News,1,94,1,192,10/09/2016,1206,3877,,,,
4409,,,Australia,,#N/A,#N/A,"South Australia, north of Adelaide",News,10/01/2016,10/16/2016,16,1,0,,Heavy Rain,1,113091.29,6.25754914062647,140.219,-34.2934,News,1,93,1,191,10/01/2016,1205,3876,,,,
4408,,,Romania,Albania,#N/A,#N/A,"Eastern Romania, Albania",News,10/09/2016,10/16/2016,8,1,300,,Heavy Rain,1,57182.5,5.66035312564019,27.5622,45.151,News,0,92,1,190,10/09/2016,1204,3875,,,,
4407,,,Spain,,#N/A,#N/A,Barcelona Province,News,10/12/2016,10/16/2016,5,1,0,,Torrential Rain,1,13988.78,4.84474984446247,2.10111,41.5692,News,0,92,1,189,10/12/2016,1204,3874,,,,
4406,,,Ukraine,,#N/A,#N/A,Odessa Region,News,10/12/2016,10/16/2016,5,3,200,,Heavy Rain,1,19889.49,4.99759365156174,31.3479,47.2563,News,0,92,1,188,10/12/2016,1204,3873,,,,
4405,,,India,,#N/A,#N/A, Andhra Pradesh,News,09/21/2016,10/16/2016,26,17,3000,,Monsoonal Rain,1.5,137435.4,6.72916321780318,80.3401,17.6536,News,1,92,1,187,09/21/2016,1204,3872,,,,
4404,,,South Korea,Japan,#N/A,#N/A,Southern South Korea,News,10/05/2016,10/12/2016,8,7,0,,Tropial Storm Chyba,1.5,25537.31,5.48635639450816,128.528,35.8029,News,0,91,1,186,10/05/2016,1203,3871,,,,
4403,,,Thailand,,#N/A,#N/A,Nakornsawan Province,News,10/06/2016,10/16/2016,11,3,100000,,Monsoonal Rain,1.5,17187.43,5.45269488662166,100.395,14.8667,News,0,91,1,185,10/06/2016,1203,3870,,,,
4402,,,USA,Haiti,#N/A,#N/A,"North Carolina, western Haiti",News,10/05/2016,10/16/2016,12,920,6000,,Tropical Storm Matthew,2,138622.34,6.52204446734741,-80.8949,33.0316,News,1,91,1,184,10/05/2016,1203,3869,,,,
4401,,,Mexico,,#N/A,#N/A,City of Durango,News,09/29/2016,10/05/2016,7,5,3000,,heavy Rain,1,22329.12,5.19396964769497,-104.964,23.6723,News,0,90,1,183,09/29/2016,1202,3868,,,,
4400,,,Canada,,#N/A,#N/A,Eastern Nova Scotia and Cape Breton,News,10/11/2016,10/12/2016,2,0,0,,Heavy Rain,1,17108.71,4.5342472605527,-61.5887,45.5679,News,0,90,1,182,10/11/2016,1202,3867,,,,
4399,,,Australia,,#N/A,#N/A,Victoria and South Australia,News,09/10/2016,09/22/2016,13,1,280,,Heavy Rain,1.5,634200.41,7.09226112981783,139.898,-33.2769,News,1,90,1,181,09/10/2016,1202,3866,,,,
4398,,,Greece,,#N/A,#N/A, Messinia regional unit,News,09/05/2016,09/08/2016,4,4,200,,Torrential Rain,1.5,20422.01,5.0882497348999,22.2918,37.418,News,0,89,1,180,09/05/2016,1201,3865,,,,
4397,,FL-2016-000097-PRK,North Korea,,#N/A,#N/A,Northeast North Korea,News,09/05/2016,09/22/2016,18,133,107000,,Tropical Storm Lionrock,1.5,52546.01,6.15190350829544,128.813,41.0836,News,1,89,1,179,09/05/2016,1201,3864,,,,
4396,,TC-2016-000100-TWN,China,Taiwan,#N/A,#N/A,South China and Taiwan,News,09/17/2016,09/22/2016,6,15,1500,,Tropical Storm Meranti,1.5,355308.59,6.50484821663173,117.629,26.0905,News,1,88,1,178,09/17/2016,1200,3863,,,,
4395,,,Japan,,#N/A,#N/A,Southern Japan,News,09/20/2016,09/22/2016,3,0,600000,,Tropical Storm Malakas,1.5,139834.53,5.79882694081282,137.374,36.2072,News,0,87,1,177,09/20/2016,1199,3862,,,,
4394,,,Indonesia,,#N/A,#N/A,West Java  Province,News,09/20/2016,09/22/2016,3,26,400,,Torrential Rain,1,32276.01,4.98600109607063,108.238,-7.04186,News,0,87,1,176,09/20/2016,1199,3861,,,,
4393,,,USA,,#N/A,#N/A,Florida,News,09/02/2016,09/10/2016,9,2,0,,Tropical Storm Hermine,1,92386.25,5.91984984869534,-82.7443,29.0656,News,0,87,1,175,09/02/2016,1199,3860,,,,
4392,,,Mexico,,#N/A,#N/A, Guerrero and Chiapas States in southern Mexico,News,09/14/2016,09/22/2016,9,13,600,,Heavy Rain,1,127233.91,6.05884538304118,-93.8047,17.0711,News,1,87,1,174,09/14/2016,1199,3859,,,,
4391,,,Mali,,#N/A,#N/A,Inner Niger Delta,News,09/14/2016,09/22/2016,9,0,0,,Heavy Rain,1.5,41985.87,5.75343692523763,5.09507,15.485,News,0,86,1,173,09/14/2016,1198,3858,,,,
4390,,,Thailand,,#N/A,#N/A,Northern Thailand,News,08/15/2016,08/26/2016,12,0,0,,Monsoonal Rain,1,62208.18,5.87302874159509,96.8687,26.3474,News,0,86,1,172,08/15/2016,1198,3857,,,,
4389,,,USA,,#N/A,#N/A,SW Lousiana and Baton Rouge,News,08/24/2016,08/26/2016,3,1,0,,Torrential Rain,1.5,17367.94,4.89296082389272,-91.7757,43.0044,News,0,86,1,171,08/24/2016,1198,3856,,,,
4388,,,USA,,#N/A,#N/A," Allamakee, Clayton, Fayette, Howard and Winneshiek counties, Iowa",News,08/14/2016,08/26/2016,13,13,40000,,Heavy Rain,2,19554.02,5.70620940301952,-91.8005,29.9879,News,0,86,1,170,08/14/2016,1198,3855,,,,
4387,,FL-2016-000077-BTN,Bhutan,,#N/A,#N/A,18 districts,News,07/21/2016,08/03/2016,14,4,0,,Monsoonal Rain,1.5,17884.1,5.57468638431991,90.5344,27.1694,News,0,86,1,169,07/21/2016,1198,3854,,,,
4386,,,USA,,#N/A,#N/A,"Ellicott City, Maryland",News,07/30/2016,07/31/2016,2,2,0,,Torrential Rain,2,4161.4,4.22129945416332,-77.2142,39.3339,News,0,86,1,168,07/30/2016,1198,3853,,,,
4385,,FL-2016-000084-PHL,Philippines,,#N/A,#N/A,"San Jose, Baludo, Lower Tiparak, and Sumalig villages in Zambo Sur; Luzon",News,07/29/2016,08/03/2016,6,0,260000,,Monsoonal Rain,1,10618.16,4.80420051561496,123.517,7.96266,News,0,86,1,167,07/29/2016,1198,3852,,,,
4384,,FL-2016-000094-IND,India,,#N/A,#N/A,"Bihar, 2200 villages; Uttar Pradesh
",News,07/15/2016,09/22/2016,70,127,377097,,Monsoonal Rain,1.5,90613.74,6.97838335495588,85.1898,25.6099,News,1,86,1,166,07/15/2016,1198,3851,,,,
4383,,,India,,#N/A,#N/A,"Maharashtra and Gujarat
",News,08/01/2016,08/03/2016,3,20,0,,Monsoonal Rain,1.5,377732.88,6.23039730368907,73.4119,21.7477,News,1,85,1,165,08/01/2016,1197,3850,,,,
4382,,FL-2016-000075-BGD,Bangladesh,,#N/A,#N/A,"Bogra, Faridpur, Gaibandha, Jamalpur, Kurigram, Kustia, Lalmonirhat, Madaripur, Manikganj, Nilphamary, Rajbari, Rangpur, Sariatpur, Sirajgonj, Sunamgonj and Tangail districts
",News,07/25/2016,08/26/2016,33,42,25000,,Monsoonal Rain,1.5,45667.11,6.35420872749336,90.0395,24.095,News,1,84,1,164,07/25/2016,1196,3849,,,,
4381,,,South Africa,,#N/A,#N/A,Cape Town and Durban,News,07/25/2016,08/03/2016,10,7,0,,Heavy Rain,1,22841.14,5.35871777572767,32.2882,-27.595,News,0,83,1,163,07/25/2016,1195,3848,,,,
4380,,FL-2016-000091-NER,Niger,Senegal,#N/A,#N/A,"Niger, Senegal, Mali, Burkina Faso, and Nigeria",News,06/15/2016,08/26/2016,73,36,5600,,Heavy Rain,1,190126.21,7.14236485112445,5.71366,15.9806,News,1,83,1,162,06/15/2016,1195,3847,,,,
4379,,,Australia,,#N/A,#N/A,"Northern Tasmania
",News,07/13/2016,07/19/2016,7,0,0,,Heavy Rain,1,27186.66,5.27945389590375,146.752,-41.8093,News,0,82,1,161,07/13/2016,1194,3846,,,,
4378,,,India,,#N/A,#N/A,"Central India, Bhopal, Shajapur, Jabalpur, Satna, Harda and Panna
",News,07/07/2016,08/03/2016,28,20,15000,,Monsoonal Rain,1.5,167030.23,6.84604436953389,80.8349,22.8107,News,1,82,1,160,07/07/2016,1194,3845,,,,
4377,,,Indonesia,,#N/A,#N/A,"Southeast Sulawesi
",News,07/11/2016,07/19/2016,9,0,1354,,Heavy Rain,1,16148.18,5.16236609118398,122.305,-3.91272,News,0,81,1,159,07/11/2016,1193,3844,,,,
4376,,,Malaysia,,#N/A,#N/A,"Penang, various parts ; Kedah, Yan and Baling districts",News,07/18/2016,07/19/2016,2,0,441,,Torrential Rain,1,36060.09,4.85805680197867,101.075,5.1723,News,0,81,1,158,07/18/2016,1193,3843,,,,
4375,,,Nicaragua,Guatamala,#N/A,#N/A,"Nicaragua, the Caribbean coast area; Guatemala, departments of Suchitepequez, Alta Verapaz, Izabal and Escuintla",News,07/09/2016,07/19/2016,11,0,5000,,Torrential Rain,1,69294.34,5.88209044780532,-90.0437,16.0779,News,0,81,1,157,07/09/2016,1193,3842,,,,
4374,,FL-2016-000072-SDN,Sudan,,#N/A,#N/A,"North Darfur, Khartoum and Al Jazirah State;  Kassala, South Darfur and Al Gezira",News,07/11/2016,08/26/2016,47,114,100000,,Heavy Rain,1,541381.54,7.40560130107169,29.5664,12.0017,News,1,81,1,156,07/11/2016,1193,3841,,,,
4373,,FL-2016-000068-NPL,Nepal,,#N/A,#N/A,"Western, Mid-Western and Central regions",News,07/04/2016,08/03/2016,31,40,5376,,Torrential Rain,1.5,8685.95,5.60627027794073,86.0311,27.5804,News,0,80,1,155,07/04/2016,1192,3840,,,,
4372,,,Pakistan,,#N/A,#N/A,"Khyber Pakhtunkhwa Province, Chitral District",News,07/03/2016,07/06/2016,4,30,80,,Heavy Rain,1.5,31431.28,5.27551331786694,72.7933,36.1038,News,0,80,1,154,07/03/2016,1192,3839,,,,
4371,,,India,,#N/A,#N/A,"Assam, Uttarakhand",News,06/29/2016,08/26/2016,59,30,1800,,Monsoonal Rain,1.5,135742.3,7.07965847424523,93.949,27.068,News,1,80,1,153,06/29/2016,1192,3838,,,,
4370,,,China,,#N/A,#N/A,Southern and eastern China, Yangtze River basin,News,06/28/2016,08/03/2016,37,128,230000,,Monsoonal Rain,2,720844.3,7.72707318839892,114.239,27.9757,News,1,79,1,152,06/28/2016,1191,,,,
4369,,,Sudan,,#N/A,#N/A,"Singa, Sengar State",News,06/30/2016,07/06/2016,7,0,4000,,Torrential Rain,1,39617.88,5.44298927222296,34.2429,12.5198,News,0,78,1,151,06/30/2016,1190,3836,,,,
4368,,,USA,,#N/A,#N/A,West Virginia,News,06/23/2016,06/24/2016,2,25,2000,,Torrential Rain,2,57042.99,5.35826227301167,-80.5545,38.9452,News,0,78,1,150,06/23/2016,1190,3835,,,,
4367,,,Australia,,#N/A,#N/A, South East Queensland,News,06/19/2016,06/24/2016,6,0,0,,Heavy Rain,1.5,789275.07,6.85147089485913,145.663,-25.1971,News,1,78,1,149,06/19/2016,1190,3834,,,,
4366,,,France,,#N/A,#N/A,North central France,News,06/01/2016,06/21/2016,21,4,0,,Heavy Rain,2,121606.09,6.70820461522908,2.99188,48.0641,News,1,77,1,148,06/01/2016,1189,3833,,,,
4365,,FL-2016-000058-MMR,Myanmar,,#N/A,#N/A," Sagaing, Kachin, Mandalay, Magway, Bago, Mon, Yangon, Ayeyarwady, Shan, Chin and Kayin states",News,06/01/2016,08/16/2016,77,16,25000,,Monsoonal Rain,2,93839.67,7.15990719269083,95.2604,18.3158,News,1,76,1,147,06/01/2016,1188,3832,,,,
4364,,FF-2016-000062-IND,Indonesia,,#N/A,#N/A,Central Java,News,06/17/2016,06/24/2016,8,43,0,,Torrential Rain,1.5,39127.45,5.67166279118788,110.032,-7.47687,News,0,75,1,146,06/17/2016,1187,3831,,,,
4363,,,Japan,,#N/A,#N/A," Kumamoto Prefecture, southern Japan",News,06/20/2016,06/21/2016,2,5,0,,Torrential Rain,1.5,18480.56,4.7438363818432,130.99,32.6031,News,0,75,1,145,06/20/2016,1187,3830,,,,
4362,,,Canada,,#N/A,#N/A," Peace River Regional District, northeastern British Columbia",News,06/14/2016,06/21/2016,8,0,300,,Heavy Rain,1,176099.51,6.14884813452883,-123.249,58.2924,News,1,75,1,144,06/14/2016,1187,3829,,,,
4361,,,Ghana,,#N/A,#N/A,Central Region, Cape Coast,News,06/12/2016,06/21/2016,10,5,0,,Heavy Rain,1,74506.4,5.87219357966512,-1.16503,6.41411,News,0,74,1,143,06/12/2016,1186,,,,
4360,,,Germany,,#N/A,#N/A,Southwestern Germany,News,05/27/2016,05/30/2016,4,4,0,,Heavy Rain,1.5,91554.92,5.7398329378683,10.217,48.4068,News,0,74,1,142,05/27/2016,1186,3827,,,,
4359,,FL-2016-000056-USA,USA,,#N/A,#N/A,East Texas,News,05/26/2016,06/24/2016,30,11,0,,Heavy Rain,1.5,160371.39,6.85833940719122,-95.5367,30.8574,Flood List,1,74,1,141,05/26/2016,1186,3826,,,,
4358,,,Russia,,#N/A,#N/A,Southern Volga River and delta,News,04/15/2016,05/30/2016,46,0,0,,Snowmelt and Rain,1,80319.4,6.56757828723871,47.0353,51.3145,DFO,1,73,1,140,04/15/2016,1185,3825,,,,
4357,,,Tanzania,,#N/A,#N/A,Morogoro Region,News,04/22/2016,05/30/2016,39,5,14000,,Heavy Rain,1.5,84214.63,6.6925434109826,35.9997,-6.89427,Flood List,1,72,1,139,04/22/2016,1184,3824,,,,
4356,,FL-2016-000044-CHN,China,,#N/A,#N/A,"Southen China;  Zhejiang, Fujian, Jiangxi, Hubei, Hunan, Guangxi, Chongqing, Sichuan, Guizhou and Yunnan",News,05/08/2016,06/21/2016,45,60,67000,,Heavy Rain,1.5,197079.53,7.12394529071921,112.952,24.7532,Flood List,1,71,1,138,05/08/2016,1183,3823,,,,
4355,,,India,Bangladesh,#N/A,#N/A,"Assam, NE Bangladesh",News,04/20/2016,05/01/2016,12,18,3000,,Heavy Rain,1.5,70517.68,6.10357052087222,95.6068,27.464,Flood List,1,70,1,137,04/20/2016,1182,3822,,,,
4354,,,Dominican Republic,Haiti,#N/A,#N/A,"Domingo; Port-au-Prince,  Cité Soleil, Cabaret.",News,05/08/2016,05/11/2016,4,5,3000,,Heavy Rain,1.5,23311.63,5.14572389178307,-71.1644,18.9942,Flood List,0,69,1,136,05/08/2016,1181,3821,,,,
4353,,,Rwanda,,#N/A,#N/A, Districts of Gakenke and Muhanga,News,05/06/2016,05/11/2016,6,49,2000,,Heavy Rain,1.5,18269.24,5.21596299052632,30.0118,-2.0565,Flood LIst,0,69,1,135,05/06/2016,1181,3820,,,,
4352,,,Kenya,Tanzania,#N/A,#N/A,Coastlines of Kenya and eastern Tanzania.,News,04/13/2016,03/29/7541,2017950,0,0,,Tropical Storm Fantala,1,117235.21,11.3739684669611,38.3442,-4.71451,News,1,69,1,134,04/13/2016,1181,3819,,,,
4351,,,Angola,,#N/A,#N/A,Luanda,News,04/19/2016,04/22/2016,4,19,3200,,Heavy Rain,1,59745.82,5.37836751744292,13.978,-8.32104,News,0,68,1,133,04/19/2016,1180,3818,,,,
4350,,,Uruguay,,#N/A,#N/A,"Artigas, Colonia, Durazno, Paysandú, San José and Treinta y Tres departments; Montevideo",News,04/12/2016,05/11/2016,30,10,10000,,Heavy Rain,2,126653.11,6.88076710885491,-56.1946,-32.4347,News,1,68,1,132,04/12/2016,1180,3817,,,,
4349,,,Russia,,#N/A,#N/A," Ural, Siberian and Northwestern Federal districts; Vologda, Tyumen and Sverdlovskaya regions.",News,04/15/2016,04/22/2016,8,0,3200,,Snowmelt and Ice Jams,1.5,1834048.3,7.34259201475745,59.8029,61.9672,News,1,67,1,131,04/15/2016,1179,3816,,,,
4348,,,USA,,#N/A,#N/A,East Texas,News,04/18/2016,04/22/2016,5,0,7,,Heavy Rain,2,448237.11,6.65150780936336,-95.7347,32.0475,News,1,66,1,130,04/18/2016,1178,3815,,,,
4347,,FL-2016-000037-SAU,Oman,Saudi Arabia,#N/A,#N/A,"Southern Saudi Arabia, northern Oman",News,04/08/2016,04/13/2016,6,5,0,,Torrential Rain,1,134747.93,5.90767335265442,53.5676,21.311,News,0,65,1,129,04/08/2016,1177,3814,,,,
4346,,,Uruguay,Argentina,#N/A,#N/A,Uruguay and northern provinces of Argentina,News,04/01/2016,04/13/2016,13,1,10000,,Heavy Rain,2,518692.93,7.12988367639063,-58.2235,-31.1431,News,1,65,1,128,04/01/2016,1177,3813,,,,
4345,,,Somalia,,#N/A,#N/A,Northwestern Somalia,News,04/06/2016,04/13/2016,8,9,0,,Torrential Rain,1,97755.61,5.89323167707143,45.8476,9.16597,News,0,64,1,127,04/06/2016,1176,3812,,,,
4344,,,Malawi,,#N/A,#N/A,Northern and central Malawi,News,04/06/2016,04/13/2016,8,10,300,,Heavy Rain,1,57108.65,5.65979188092523,33.8223,-11.5543,News,0,64,1,126,04/06/2016,1176,3811,,,,
4343,,,Ethiopia,,#N/A,#N/A,Somali and Afar regions,News,04/04/2016,04/13/2016,10,28,2400,,Heavy Rain,1.5,244002.48,6.56348549951261,41.6907,9.26816,News,1,64,1,125,04/04/2016,1176,3810,,,,
4342,,,New Zealand,,#N/A,#N/A,"Northwest coast, Southern Island.",News,03/23/2016,03/25/2016,3,0,300,,Torrential Rain,2,39333.76,5.37291671393555,172.213,-42.169,News,0,63,1,124,03/23/2016,1175,3809,,,,
